INSERT INTO `products` (`id`, `name`, `category`, `image_url`) VALUES
(1, 'Silk Hair Bow', 'Accessories', './images/silkbow.jpg'),
(2, 'Pearl-Embroidered Gloves', 'Accessories', './images/gloves.jpg'),
(3, 'Pearl Choker', 'Jewelry', './images/pearlchoker.jpg'),
(4, 'Tiara', 'Jewelry', './images/tiara.jpg'),
(5, 'Regency Ball Gown', 'Dresses', './images/dress1.jpg'),
(6, 'Empire Waist Maxi Dress', 'Dresses', './images/dress2.jpg'),
(7, 'Victorian Lace Blouse', 'Tops', './images/top1.jpg'),
(8, 'Floral Skirt', 'Skirts', './images/organzaskirt.jpg'),
(9, 'Embroidered Beaded Handbag', 'Bags', './images/bag1.jpg'),
(10, 'Pearl Mini Purse', 'Bags', './images/bag2.jpg'),
(55, 'Velvet Scrunchie', 'Accessories', './images/velvetscrunchie.jpg'),
(56, 'Lace Hand Fan', 'Accessories', './images/lacefan.jpg'),
(57, 'Hair Comb', 'Accessories', './images/comb.jpg'),
(58, 'Faux Fur Scarf', 'Accessories', './images/scarf.jpg'),
(59, 'Pearl Hairband', 'Accessories', './images/hairband.jpg'),
(60, 'Long Gloves', 'Accessories', './images/longgloves.jpg'),
(61, 'Fluffy Hand Muff', 'Accessories', './images/handmuff.jpg'),
(62, 'Frilly Parasol', 'Accessories', './images/frillyparasol.jpg'),
(63, 'Floral Corsage Brooch', 'Accessories', './images/floralbrooch.jpg'),
(64, 'Embroidered Handkerchief', 'Accessories', './images/embroideredhandkerchief.jpg'),
(95, 'Crystal Heart Pendant', 'Jewelry', './images/crystalheartpendant.jpg'),
(96, 'Pearl Anklet', 'Jewelry', './images/pearlsanklet.jpg'),
(97, 'Vintage Bracelet', 'Jewelry', './images/bracelet.jpg'),
(98, 'Vintage Earrings', 'Jewelry', './images/vintageearrings.jpg'),
(99, 'Floral Charm Necklace', 'Jewelry', './images/floralcharmnecklace.jpg'),
(100, 'Vintage Ring', 'Jewelry', './images/vintagering.jpg'),
(101, 'Elegant Necklace', 'Jewelry', './images/prettynecklace.jpg'),
(102, 'Dainty Rose Gold Chain', 'Jewelry', './images/daintyrosegoldchain.jpg'),
(103, 'Chandelier Earrings', 'Jewelry', './images/chandelierearrings.jpg'),
(104, 'Lock & Key Necklace', 'Jewelry', './images/lockandkeynecklace.jpg'),
(105, 'Floral Midi Dress', 'Dresses', './images/floralmididress.jpg'),
(106, 'Satin Slip Dress', 'Dresses', './images/satinslipdress.jpg'),
(107, 'Lace A-Line Dress', 'Dresses', './images/lacealinedress.jpg'),
(108, 'Vintage Print Dress', 'Dresses', './images/vintageprintdress.jpg'),
(109, 'Ruffle Mini Dress', 'Dresses', './images/ruffleminidress.jpg'),
